Location,Date,Year,Month,NewCases,NewDeaths,HospitalPatients,Vaccinations
Denmark,01/03/2020 00:00,2020,March,1,,,
Dominican Republic,01/03/2020 00:00,2020,March,1,,,
Ecuador,01/03/2020 00:00,2020,March,6,,,
Estonia,01/03/2020 00:00,2020,March,0,,1,
Finland,01/03/2020 00:00,2020,March,3,,,
France,01/03/2020 00:00,2020,March,30,0,116,
Germany,01/03/2020 00:00,2020,March,51,,,
Greece,01/03/2020 00:00,2020,March,3,,,
Iceland,01/03/2020 00:00,2020,March,2,,1,
Ireland,01/03/2020 00:00,2020,March,0,,,
Italy,01/03/2020 00:00,2020,March,566,5,779,
Lithuania,01/03/2020 00:00,2020,March,0,,,
Luxembourg,01/03/2020 00:00,2020,March,0,,,
Mexico,01/03/2020 00:00,2020,March,1,,,
Monaco,01/03/2020 00:00,2020,March,0,,,
Netherlands,01/03/2020 00:00,2020,March,4,,20,
North Macedonia,01/03/2020 00:00,2020,March,0,,,
Norway,01/03/2020 00:00,2020,March,4,,,
Romania,01/03/2020 00:00,2020,March,0,,,
Russia,01/03/2020 00:00,2020,March,0,,,
San Marino,01/03/2020 00:00,2020,March,0,,,
Spain,01/03/2020 00:00,2020,March,39,,,
Sweden,01/03/2020 00:00,2020,March,0,,1,
Switzerland,01/03/2020 00:00,2020,March,9,,,
United Kingdom,01/03/2020 00:00,2020,March,33,,,
United States,01/03/2020 00:00,2020,March,7,0,,
Andorra,02/03/2020 00:00,2020,March,1,,,
Austria,02/03/2020 00:00,2020,March,4,,,
Belarus,02/03/2020 00:00,2020,March,0,,,
Belgium,02/03/2020 00:00,2020,March,6,,,
Brazil,02/03/2020 00:00,2020,March,0,,,
Canada,02/03/2020 00:00,2020,March,3,,,
Chile,02/03/2020 00:00,2020,March,0,,,
Croatia,02/03/2020 00:00,2020,March,0,,,
Czechia,02/03/2020 00:00,2020,March,0,,0,
Denmark,02/03/2020 00:00,2020,March,0,,,
Dominican Republic,02/03/2020 00:00,2020,March,0,,,
Ecuador,02/03/2020 00:00,2020,March,0,,,
Estonia,02/03/2020 00:00,2020,March,0,,1,
Finland,02/03/2020 00:00,2020,March,0,,,
France,02/03/2020 00:00,2020,March,61,1,,
Germany,02/03/2020 00:00,2020,March,29,,,
Greece,02/03/2020 00:00,2020,March,0,,,
Iceland,02/03/2020 00:00,2020,March,3,,0,
Ireland,02/03/2020 00:00,2020,March,0,,,
Italy,02/03/2020 00:00,2020,March,342,18,908,
Latvia,02/03/2020 00:00,2020,March,1,,,
Lithuania,02/03/2020 00:00,2020,March,0,,,
Luxembourg,02/03/2020 00:00,2020,March,0,,,
Mexico,02/03/2020 00:00,2020,March,0,,,
Monaco,02/03/2020 00:00,2020,March,0,,,
Netherlands,02/03/2020 00:00,2020,March,8,,34,
North Macedonia,02/03/2020 00:00,2020,March,0,,,
Norway,02/03/2020 00:00,2020,March,6,,,
Portugal,02/03/2020 00:00,2020,March,2,,,
Romania,02/03/2020 00:00,2020,March,0,,,
Russia,02/03/2020 00:00,2020,March,1,,,
San Marino,02/03/2020 00:00,2020,March,7,,,
Spain,02/03/2020 00:00,2020,March,36,,,
Sweden,02/03/2020 00:00,2020,March,5,,3,
Switzerland,02/03/2020 00:00,2020,March,15,,,
United Kingdom,02/03/2020 00:00,2020,March,40,,,
United States,02/03/2020 00:00,2020,March,23,5,,
Andorra,03/03/2020 00:00,2020,March,0,,,
Argentina,03/03/2020 00:00,2020,March,1,,,
Austria,03/03/2020 00:00,2020,March,3,,,
Belarus,03/03/2020 00:00,2020,March,0,,,
Belgium,03/03/2020 00:00,2020,March,5,,,
Brazil,03/03/2020 00:00,2020,March,0,,,
Canada,03/03/2020 00:00,2020,March,3,,,
Chile,03/03/2020 00:00,2020,March,1,,,
Croatia,03/03/2020 00:00,2020,March,2,,,
Czechia,03/03/2020 00:00,2020,March,2,,0,
Denmark,03/03/2020 00:00,2020,March,2,,,
Dominican Republic,03/03/2020 00:00,2020,March,0,,,
Ecuador,03/03/2020 00:00,2020,March,1,,,
Estonia,03/03/2020 00:00,2020,March,1,,1,
Finland,03/03/2020 00:00,2020,March,0,,,
France,03/03/2020 00:00,2020,March,21,1,,
Germany,03/03/2020 00:00,2020,March,37,,,
Greece,03/03/2020 00:00,2020,March,0,,,
Hungary,03/03/2020 00:00,2020,March,0,,0,
Iceland,03/03/2020 00:00,2020,March,5,,0,
Ireland,03/03/2020 00:00,2020,March,1,,,
Italy,03/03/2020 00:00,2020,March,466,27,1263,
Latvia,03/03/2020 00:00,2020,March,0,,,
Lithuania,03/03/2020 00:00,2020,March,0,,,
Luxembourg,03/03/2020 00:00,2020,March,0,,,
Mexico,03/03/2020 00:00,2020,March,0,,,
Monaco,03/03/2020 00:00,2020,March,0,,,
Netherlands,03/03/2020 00:00,2020,March,6,,40,
North Macedonia,03/03/2020 00:00,2020,March,0,,,
Norway,03/03/2020 00:00,2020,March,7,,,
Portugal,03/03/2020 00:00,2020,March,0,,0,
Romania,03/03/2020 00:00,2020,March,0,,,
Russia,03/03/2020 00:00,2020,March,0,,,
San Marino,03/03/2020 00:00,2020,March,2,1,,
Spain,03/03/2020 00:00,2020,March,45,1,,
Sweden,03/03/2020 00:00,2020,March,13,,3,
Switzerland,03/03/2020 00:00,2020,March,14,,,
Ukraine,03/03/2020 00:00,2020,March,1,,,
United Kingdom,03/03/2020 00:00,2020,March,55,,,
United States,03/03/2020 00:00,2020,March,19,1,,
Andorra,04/03/2020 00:00,2020,March,0,,,
Argentina,04/03/2020 00:00,2020,March,0,,,
Austria,04/03/2020 00:00,2020,March,8,,,
Belarus,04/03/2020 00:00,2020,March,5,,,
Belgium,04/03/2020 00:00,2020,March,10,,,
Brazil,04/03/2020 00:00,2020,March,2,,,
Canada,04/03/2020 00:00,2020,March,3,,,
Chile,04/03/2020 00:00,2020,March,0,,,
Croatia,04/03/2020 00:00,2020,March,1,,,
Czechia,04/03/2020 00:00,2020,March,3,,0,
Denmark,04/03/2020 00:00,2020,March,5,,,
Dominican Republic,04/03/2020 00:00,2020,March,0,,,
Ecuador,04/03/2020 00:00,2020,March,3,,,
Estonia,04/03/2020 00:00,2020,March,0,,1,
